Sl. No,Entity name,Final Entity Name,Final Attribute Name,Attribute Name,Sample Value,Physical Entity ,SAP PM Field Defn,Notes
33,WorkOrder,WorkOrder,LastEdited?,LastEdited - DUPLICATE A6??,,Null,,
34,WorkOrder,,,no SAP field is given - need more clarification (CFP field is given),,Null,,
35,WorkOrder,,,no SAP field is given - need more clarification (CFP field is given),,Null,,
36,WorkOrder,,,Duplicate A1 (H col same) - clarification needed,2.00E+11,AUFK (OrderMaster),Order Number,
37,Segment,Duplicate A15,Duplicate A15,Duplicate A15 (H col same) - clarification needed,MARS,ILOA (FunctionLocation),Maintenance Plant,
38,WorkOrder,WorkStep??,WorkStep???,get better understanding of how Operation/Activity No is defined,10,AFVC(OrderOperation),Operation/Activity Number,"Yes, (Maintenance) Order Operations are the WorkSteps."
39,WorkOrder,Same as A38?,Same as A38?,Same as A38?,1,AFVC(OrderOperation),Operation/Activity Number,Is this the ID for a second operation/work step in the list?
40,WorkOder,,,get better understanding of how control key is defined,PM01,AFVC(OrderOperation),Control Key (See Table T430 for Description),Potentially this maps to higher-level WorkTaskTypes in a taxonomy or a WorkManagementType for WorkSteps
41,WorkOrder,,,get better understanding of how standard text key is defined,STANTXKY,AFVC(OrderOperation),Standard text key (See Table 435 for Values),
42,WorkOrder,Duplicate A15,Duplicate A13,Duplicate A13?? - clarification needed,MECHANIK,CRHD (WorkCenterHeader),Work Center,
43,WorkOrder,Same as A15??,Same as A15??,Same as A15?? - clarification needed,US01,AFVC(OrderOperation),Plant,
44,WorkOrder,,,get better undertanding of how work center description is defined,Mechanical Work Center ( 40 CHAR) ,CRTX(WorkCenterText),Short Description,
45,WorkOrder,WorkTaskType,/WorkTaskType/Shortname,WorkTaskType,100001,AFVC(OrderOperation),Activity Type,"Yes, but the 100001 would likely map to the WorkTaskType's IDInInfoSource. Alternatively, there would be a mapping to existing WorkTaskType reference data elements."
46,WorkStep??,,,get better undertanding of how operation short text is defined,Operation Short text,AFVC(OrderOperation),Operation short text,Likely comes from or maps to the ShortName of the WorkStep
47,WorkStep??,Same as A38,Same as A38,get better undertanding of how operation activity number is defined,123,AFVC(OrderOperation),Operation/Activity Number,
48,WorkOrder,TimeStampedEvent,/EventCause//TimestampedEvent/End-Start,End-Start ??,1000001,AFVV(OperationValues),Values/Activity Number; Normal duration of activity,Not sure where this is coming from or where it should go. If this is referring to 'normal' durations then it may be a property a SolutionPackage which is a kind of template for WorkOrders.
49,WorkOrder,MeasurementLocation,MeasurementLocation/DefautUnitofMeasure,Value??,HRS,AFVV(OperationValues),Values/Activity Number; Normal duration/unit,"would likely be the unit of measure associated with a Measure object (i.e., value plus unit pair)"
50,WorkStatus,WorkStatus,WorkStatus,WorkStatus,REL CNF,JEST,JEST/Activity Number,duplicate of A18??
51,WorkStatus,Agent,???/Agent/AgentRoleWithWork,AgentRoleWithWork,SCP9 PLN9 MAT8,JEST,JEST/Activity Number,duplicate of A19??
52,WorkOrder,,StartBefore?? -same as A56??,Same as A56??,1,AFVV(OperationValues),Values/Activity Number; Constraint on the basic start date for the activity,"If these are for the operations, then they would map to, e.g., StartBefore, etc., of the WorkStep"
53,WorkOrder,RequestForWork,EndBefore??,Same as A57??,Must Start On,AFVV(OperationValues),Values/Activity Number; Constraint on the finish date of activity,as above
54,WorkOrder,,Duplicate of A52?? In SAP not CFP?,Duplicate of A52??,1,AFVV(OperationValues),Values/Activity Number; Constraint on the basic start date for the activity,as above
55,WorkOrder,RequestForWork,Duplicate of A53?? In SAP not CFP?,Duplicate of A53??,Must End On,AFVV(OperationValues),Values/Activity Number;  Constrait on the finish date of activity,as above
56,WorkOrder,WorkOrder,StartBefore,StartBefore,20221501 : 080000,AFVV(OperationValues),Values/Activity Number; Constraint for activity start/start time,as above
57,WorkOrder,WorkOrder,EndBefore,EndBefore,20221701 : 080000,AFVV(OperationValues),Values/Activity Number;Constraint for Finish of Activity (basic finish time of activity),as above
58,WorkOrder,WorkOrder,StartAfter,StartAfter,20221501 : 080000,AFVV(OperationValues),Values/Activity Number; Earliest scheduled start (date and time),as above
59,WorkOrder,WorkOrder,EndAfter,EndAfter,20221701 : 080000,AFVV(OperationValues),Values/Activity Number; Earliest scheduled finish (date and time),as above
60,WorkOrder,,,get better understanding of how key word ID is defined,TK_TERKC,AFVU(OperationUserFields),Fields/Activity Number; Key word ID for user-defined fields,"If these are truly custom values then they would Properties ,likely of the WorkStep, if they are related to the operations."
61,WorkOrder,,,get better understanding of how user field is defined,TEXT 20 CHAR,AFVU(OperationUserFields),Fields/Activity Number; User field with 20 characters,as above
62,WorkOrder,,,Duplicate A6?,20211230:211210,AUFK (OrderMaster),Master/Activity Number,Not sure where this value/field is coming from.
63,WorkOrder,,,Duplicate A12?,1.00E+11,AFIH (MaintenanceOrderHeader),Header/Activity Number; Equipment Number,Or is this meant to be in association with an operation/workstep?
64,Segment,Same as A17,Same as A17,Duplicate for A17,Z378-DTRN_-DEVO_D-512A-00000000000001,IFLOS (FunctionalLocationLabel),Functional Location Label,as above?
65,Asset,Asset,/Asset/HealthAssessment,HealthAssessment,0,AFVC(OrderOperation),System Condition,"(Maintenance) Order Operations are the WorkSteps within a WorkOrder, so this would be a similar mapping as to the work order above at line 24, but for the work step."
66,WorkOrder,,,get better understanding of purchase req # - not yet mapped to CCOM,1000000020,AFVC(OrderOperation),Purchase requisition number,"we haven't mapped to this, but would likely map to an appropriate 'Request' entity of appropriate reference data once we do, if doing the mapping fully in CCOM."
67,WorkOrder,,,get better understanding of purchase req # - not yet mapped to CCOM,10,AFVC(OrderOperation),Item numberof the purchase requisition in the order,as above
68,WorkOrder,,,get better understanding of purchasing doc #- not yet mapped to CCOM,4500000012,AFVC(OrderOperation),Purchasing Document Number,as above
69,WorkOrder,,,get better understanding of item # of purchasing doc - not yet mapped to CCOM,10,AFVC(OrderOperation),Item Number of Purchasing Document,as above
70,Asset,Asset,/Asset/Manufacturer,Manufacturer?,1000000010,AFVC(OrderOperation),Account Number of Vendor or Creditor,"Agree this would likely map to a Manufacturer, but not necessasrily the manufacturer of the existing asset in cases where it is a like replacement. If related to the purchase order, it would be the recipient of the 'Request'. This would be a 'Organisation' (Agent), which may be mapped to an equivalent Manufacturer for Assets but not other things."
71,Segment,??,??,Duplicate of A17?,Z378-DTRN_-DEVO_D-512A-00000000000001,IFLOT(FunctionalLocation),Functional Location,Would be a Segment in the breakdown structure
72,Segment,Same as A17,Same as A17,Duplicate for A17??,Z378-DTRN_-DEVO_D-512A-00000000000001,IFLOT(FunctionalLocationLabels),Functional Location Label,based on previous
73,Segment,SegmentType?,/Type/Shortname?,Type?,Devolatizer,IFLOT(FunctionalLocationShortText),Description of Functional Location,"Depends on whether this is always general description, it may match back to the SegmentType reference data. But if it is object specific and an arbitrary description of the functional location, then it would be either the FullName or Description of the Segment itself."
74,Segment,,,to be mapped to CCOM,EN,IFLOT(FunctionalLocationShortText),Language Key,"All CCOM Text elements can specify their language as they are derived from the Core Component Type schema , which has a language attribute for their TextType."
75,,Same as A15,Same as A15,Same as A15,,Plant,Plant,
